# generated from the tensat project
# ("Equality Saturation for Tensor Graph Superoptimization" by Yang, Phothilimthana, Wang, Willsey, Roy and Pienaar)
# network: bert
# node_limit: 50000
# iteration limit: 15
# multipatern iteration limit: 2
## root: 191
2081,0,Split([10; 2080]),10,2080
26987,0.40112000703811646,Matmul([0; 51; 26989]),0,51,26989
26987,0.3887999951839447,Matmul([0; 453; 2269]),0,453,2269
419,0.035840000957250595,Matmul([0; 3; 9994]),0,3,9994
419,0.03641600161790848,Matmul([0; 29; 9996]),0,29,9996
419,0.03641600161790848,Matmul([0; 52; 9998]),0,52,9998
419,0.03641600161790848,Matmul([0; 75; 10000]),0,75,10000
419,0.03641600161790848,Matmul([0; 98; 8987]),0,98,8987
419,0.03641600161790848,Matmul([0; 121; 8989]),0,121,8989
419,0.03641600161790848,Matmul([0; 144; 583]),0,144,583
419,0.0360959991812706,Matmul([0; 167; 418]),0,167,418
419,0,Split0(7196),7196
419,0,Split0(7206),7206
419,0,Split0(8718),8718
419,0,Split1(4001),4001
419,0,Split1(4151),4151
419,0,Split1(4296),4296
419,0,Split1(4436),4436
419,0,Split1(4526),4526
419,0,Split1(4626),4626
419,0,Split1(4721),4721
419,0,Split1(4811),4811
419,0,Split1(6811),6811
419,0,Split1(6881),6881
419,0,Split1(6941),6941
419,0,Split1(6991),6991
419,0,Split1(7031),7031
419,0,Split1(7061),7061
419,0,Split1(7096),7096
419,0,Split1(7136),7136
419,0,Split1(7166),7166
36805,0.7783359885215759,Matmul([0; 74; 5944]),0,74,5944
38499,0.7783359885215759,Matmul([0; 120; 6669]),0,120,6669
6695,0.06892800331115723,Matmul([0; 3; 38571]),0,3,38571
6695,0.0708480030298233,Matmul([0; 29; 38575]),0,29,38575
6695,0.0708480030298233,Matmul([0; 52; 38581]),0,52,38581
6695,0.0708480030298233,Matmul([0; 75; 38585]),0,75,38585
6695,0.0708480030298233,Matmul([0; 98; 38587]),0,98,38587
6695,0.07011199742555618,Matmul([0; 121; 6694]),0,121,6694
5294,0.00002499999936844688,Concat([10; 192; 233; 525]),10,192,233,525
26957,0.5625920295715332,Matmul([0; 51; 26959]),0,51,26959
26957,0.5420160293579102,Matmul([0; 453; 2234]),0,453,2234
10480,0.5625920295715332,Matmul([0; 51; 10482]),0,51,10482
10480,0.5505920052528381,Matmul([0; 453; 10484]),0,453,10484
10480,0.5420160293579102,Matmul([0; 8735; 3679]),0,8735,3679
10480,0.5420160293579102,Matmul([0; 8821; 3684]),0,8821,3684
11178,0.8015679717063904,Matmul([0; 28; 11180]),0,28,11180
11178,0.7773119807243347,Matmul([0; 443; 11182]),0,443,11182
11178,0.7773119807243347,Matmul([0; 8729; 11184]),0,8729,11184
11178,0.7639679908752441,Matmul([0; 8807; 6574]),0,8807,6574
11178,0.7639679908752441,Matmul([0; 9023; 6579]),0,9023,6579
28039,0.5625920295715332,Matmul([0; 51; 28043]),0,51,28043
28039,0.5505920052528381,Matmul([0; 453; 28045]),0,453,28045
28039,0.5420160293579102,Matmul([0; 8735; 3124]),0,8735,3124
2749,0.00003199999991920777,Concat([10; 192; 100; 313]),10,192,100,313
30089,0.5625920295715332,Matmul([0; 97; 30091]),0,97,30091
30089,0.5420160293579102,Matmul([0; 473; 3849]),0,473,3849
36525,0.8015679717063904,Matmul([0; 28; 36527]),0,28,36527
36525,0.7639679908752441,Matmul([0; 443; 5559]),0,443,5559
5160,0.06892800331115723,Matmul([0; 3; 36405]),0,3,36405
5160,0.07011199742555618,Matmul([0; 29; 5159]),0,29,5159
27327,0.40112000703811646,Matmul([0; 28; 27331]),0,28,27331
27327,0.3935360014438629,Matmul([0; 443; 27335]),0,443,27335
27327,0.3935360014438629,Matmul([0; 8729; 27337]),0,8729,27337
27327,0.3887999951839447,Matmul([0; 8807; 2694]),0,8807,2694
38719,0.8015679717063904,Matmul([0; 51; 38725]),0,51,38725
38719,0.7773119807243347,Matmul([0; 453; 38729]),0,453,38729
38719,0.7773119807243347,Matmul([0; 8735; 38731]),0,8735,38731
38719,0.7639679908752441,Matmul([0; 8821; 6734]),0,8821,6734
10456,0.5625920295715332,Matmul([0; 51; 10458]),0,51,10458
10456,0.5505920052528381,Matmul([0; 453; 10460]),0,453,10460
10456,0.5420160293579102,Matmul([0; 8735; 3649]),0,8735,3649
10456,0.5420160293579102,Matmul([0; 8821; 3654]),0,8821,3654
27855,0.5625920295715332,Matmul([0; 28; 27857]),0,28,27857
27855,0.5505920052528381,Matmul([0; 443; 27859]),0,443,27859
27855,0.5420160293579102,Matmul([0; 8729; 3009]),0,8729,3009
6975,0.06892800331115723,Matmul([0; 3; 40107]),0,3,40107
6975,0.0708480030298233,Matmul([0; 29; 40111]),0,29,40111
6975,0.0708480030298233,Matmul([0; 52; 40117]),0,52,40117
6975,0.0708480030298233,Matmul([0; 75; 40123]),0,75,40123
6975,0.0708480030298233,Matmul([0; 98; 40127]),0,98,40127
6975,0.0708480030298233,Matmul([0; 121; 40129]),0,121,40129
6975,0.07011199742555618,Matmul([0; 144; 6974]),0,144,6974
3549,0.000022000000171829015,Concat([10; 192; 128; 567]),10,192,128,567
9536,0.23977600038051605,Matmul([0; 74; 8837]),0,74,8837
9536,0.23161600530147552,Matmul([0; 463; 8839]),0,463,8839
9536,0.23161600530147552,Matmul([0; 8741; 485]),0,8741,485
9536,0.22566400468349457,Matmul([0; 8835; 146]),0,8835,146
9938,0.40112000703811646,Matmul([0; 74; 9940]),0,74,9940
9938,0.3935360014438629,Matmul([0; 463; 8975]),0,463,8975
9938,0.3935360014438629,Matmul([0; 8741; 8977]),0,8741,8977
9938,0.3935360014438629,Matmul([0; 8835; 577]),0,8835,577
9938,0.3887999951839447,Matmul([0; 9113; 403]),0,9113,403
48,0,Reshape([47; 25]),47,25
10286,0.5523520112037659,Matmul([0; 74; 3059]),0,74,3059
10286,0.5420160293579102,Matmul([0; 463; 3064]),0,463,3064
581,0.3963199853897095,Matmul([0; 166; 413]),0,166,413
581,0.000018000000636675395,Concat([10; 192; 495; 503]),10,192,495,503
581,0,Split0(8419),8419
581,0,Split0(8423),8423
581,0,Split0(8427),8427
581,0,Split1(7926),7926
581,0,Split1(7956),7956
581,0,Split1(7983),7983
581,0,Split1(8007),8007
581,0,Split1(8387),8387
581,0,Split1(8403),8403
581,0,Split1(8714),8714
32287,0.5625920295715332,Matmul([0; 97; 32291]),0,97,32291
32287,0.5505920052528381,Matmul([0; 473; 32293]),0,473,32293
32287,0.5420160293579102,Matmul([0; 8747; 4294]),0,8747,4294
38569,0.7783359885215759,Matmul([0; 120; 6689]),0,120,6689
39901,0.7783359885215759,Matmul([0; 143; 6934]),0,143,6934
6455,0.06892800331115723,Matmul([0; 3; 11130]),0,3,11130
6455,0.0708480030298233,Matmul([0; 29; 11132]),0,29,11132
6455,0.0708480030298233,Matmul([0; 52; 11134]),0,52,11134
6455,0.0708480030298233,Matmul([0; 75; 11136]),0,75,11136
6455,0.07011199742555618,Matmul([0; 98; 6454]),0,98,6454
6455,0.07011199742555618,Matmul([0; 121; 6459]),0,121,6459
10938,0.7783359885215759,Matmul([0; 28; 5584]),0,28,5584
10938,0.7639679908752441,Matmul([0; 443; 5589]),0,443,5589
4104,0.5523520112037659,Matmul([0; 143; 4109]),0,143,4109
4104,0.00003199999991920777,Concat([10; 192; 487; 571]),10,192,487,571
35647,0.5625920295715332,Matmul([0; 51; 35653]),0,51,35653
35647,0.5505920052528381,Matmul([0; 453; 35659]),0,453,35659
35647,0.5505920052528381,Matmul([0; 8735; 35663]),0,8735,35663
35647,0.5505920052528381,Matmul([0; 8821; 35665]),0,8821,35665
35647,0.5420160293579102,Matmul([0; 9062; 4764]),0,9062,4764
699,0.00003199999991920777,Concat([10; 192; 13; 203]),10,192,13,203
5954,0.00002499999936844688,Concat([10; 192; 293; 549]),10,192,293,549
5290,0.06892800331115723,Matmul([0; 3; 36429]),0,3,36429
5290,0.07011199742555618,Matmul([0; 29; 5289]),0,29,5289
34057,0.5523520112037659,Matmul([0; 143; 4589]),0,143,4589
10770,0.5625920295715332,Matmul([0; 120; 10772]),0,120,10772
10770,0.5420160293579102,Matmul([0; 483; 4544]),0,483,4544
10770,0.5420160293579102,Matmul([0; 8753; 4549]),0,8753,4549
2131,0,Split([10; 2130]),10,2130
2915,0.05350400134921074,Matmul([0; 3; 10246]),0,3,10246
2915,0.05407999828457832,Matmul([0; 29; 10248]),0,29,10248
2915,0.05407999828457832,Matmul([0; 52; 10250]),0,52,10250
2915,0.05532800033688545,Matmul([0; 75; 2914]),0,75,2914
2915,0.05532800033688545,Matmul([0; 98; 2919]),0,98,2919
123,0,Weight([122]),122
1385,0.05488000065088272,Matmul([0; 3; 1384]),0,3,1384
36885,0.8015679717063904,Matmul([0; 28; 36887]),0,28,36887
36885,0.7773119807243347,Matmul([0; 443; 36889]),0,443,36889
36885,0.7639679908752441,Matmul([0; 8729; 6029]),0,8729,6029
28827,0.5625920295715332,Matmul([0; 28; 28831]),0,28,28831
28827,0.5505920052528381,Matmul([0; 443; 28835]),0,443,28835
28827,0.5505920052528381,Matmul([0; 8729; 28837]),0,8729,28837
28827,0.5420160293579102,Matmul([0; 8807; 3459]),0,8807,3459
33097,0.5625920295715332,Matmul([0; 74; 33103]),0,74,33103
33097,0.5505920052528381,Matmul([0; 463; 33107]),0,463,33107
33097,0.5505920052528381,Matmul([0; 8741; 33109]),0,8741,33109
33097,0.5420160293579102,Matmul([0; 8835; 4464]),0,8835,4464
4181,0,Split([10; 4180]),10,4180
26743,0.5523520112037659,Matmul([0; 28; 1849]),0,28,1849
28675,0.5625920295715332,Matmul([0; 51; 28681]),0,51,28681
28675,0.5505920052528381,Matmul([0; 453; 28685]),0,453,28685
28675,0.5505920052528381,Matmul([0; 8735; 28687]),0,8735,28687
28675,0.5420160293579102,Matmul([0; 8821; 3404]),0,8821,3404
7944,0,Split([10; 585]),10,585
27,0,Var("w_3@1024_1024")
393,0.000045000000682193786,Concat([10; 192; 151; 166]),10,192,151,166
2634,0.00003199999991920777,Concat([10; 192; 97; 303]),10,192,97,303
1984,0.00002700000004551839,Concat([10; 192; 453; 238]),10,192,453,238
1926,0,Split([10; 1925]),10,1925
105,0,Weight([104]),104
31507,0.5625920295715332,Matmul([0; 51; 31513]),0,51,31513
31507,0.5505920052528381,Matmul([0; 453; 31519]),0,453,31519
31507,0.5505920052528381,Matmul([0; 8735; 31523]),0,8735,31523
31507,0.5505920052528381,Matmul([0; 8821; 31525]),0,8821,31525
31507,0.5420160293579102,Matmul([0; 9062; 4144]),0,9062,4144
4075,0.05350400134921074,Matmul([0; 3; 16543]),0,3,16543
4075,0.05407999828457832,Matmul([0; 29; 10582]),0,29,10582
4075,0.05407999828457832,Matmul([0; 52; 10584]),0,52,10584
4075,0.05407999828457832,Matmul([0; 75; 10586]),0,75,10586
4075,0.05407999828457832,Matmul([0; 98; 10588]),0,98,10588
4075,0.05532800033688545,Matmul([0; 121; 4074]),0,121,4074
4075,0.05532800033688545,Matmul([0; 144; 4079]),0,144,4079
5776,0,Split([10; 5775]),10,5775
27751,0.5625920295715332,Matmul([0; 51; 27755]),0,51,27755
27751,0.5505920052528381,Matmul([0; 453; 27757]),0,453,27757
27751,0.5420160293579102,Matmul([0; 8735; 2959]),0,8735,2959
29665,0.40112000703811646,Matmul([0; 74; 29669]),0,74,29669
29665,0.3935360014438629,Matmul([0; 463; 29671]),0,463,29671
29665,0.3887999951839447,Matmul([0; 8741; 3719]),0,8741,3719
32989,0.5523520112037659,Matmul([0; 143; 4424]),0,143,4424
1355,0.05350400134921074,Matmul([0; 3; 26569]),0,3,26569
1355,0.05532800033688545,Matmul([0; 29; 1354]),0,29,1354
1384,0.00002700000004551839,Concat([10; 192; 443; 198]),10,192,443,198
28861,0.5523520112037659,Matmul([0; 97; 3469]),0,97,3469
1036,0,Split([10; 1035]),10,1035
27505,0.5523520112037659,Matmul([0; 97; 2804]),0,97,2804
3465,0.05350400134921074,Matmul([0; 3; 28839]),0,3,28839
3465,0.05407999828457832,Matmul([0; 29; 28843]),0,29,28843
3465,0.05407999828457832,Matmul([0; 52; 28847]),0,52,28847
3465,0.05407999828457832,Matmul([0; 75; 28849]),0,75,28849
3465,0.05532800033688545,Matmul([0; 98; 3464]),0,98,3464
27575,0.40112000703811646,Matmul([0; 74; 27577]),0,74,27577
27575,0.3887999951839447,Matmul([0; 463; 2844]),0,463,2844
26871,0.5625920295715332,Matmul([0; 28; 26873]),0,28,26873
26871,0.5420160293579102,Matmul([0; 443; 2124]),0,443,2124
39101,0.8015679717063904,Matmul([0; 120; 39103]),0,120,39103
39101,0.7639679908752441,Matmul([0; 483; 6794]),0,483,6794
7214,0.7783359885215759,Matmul([0; 166; 7219]),0,166,7219
7214,0.000029000000722589903,Concat([10; 192; 585; 587]),10,192,585,587
1765,0.05350400134921074,Matmul([0; 3; 10076]),0,3,10076
1765,0.05532800033688545,Matmul([0; 29; 1764]),0,29,1764
1765,0.05532800033688545,Matmul([0; 52; 1769]),0,52,1769
40195,0.8015679717063904,Matmul([0; 97; 40199]),0,97,40199
40195,0.7773119807243347,Matmul([0; 473; 40201]),0,473,40201
40195,0.7639679908752441,Matmul([0; 8747; 6989]),0,8747,6989
30715,0.5625920295715332,Matmul([0; 51; 30721]),0,51,30721
30715,0.5505920052528381,Matmul([0; 453; 30727]),0,453,30727
30715,0.5505920052528381,Matmul([0; 8735; 30731]),0,8735,30731
30715,0.5505920052528381,Matmul([0; 8821; 30733]),0,8821,30733
30715,0.5420160293579102,Matmul([0; 9062; 3984]),0,9062,3984
27013,0.5523520112037659,Matmul([0; 51; 2299]),0,51,2299
4281,0,Split([10; 4280]),10,4280
6589,0.00003199999991920777,Concat([10; 192; 353; 368]),10,192,353,368
8843,0.23977600038051605,Matmul([0; 120; 487]),0,120,487
8843,0.22566400468349457,Matmul([0; 483; 151]),0,483,151
2811,0,Split([10; 2810]),10,2810
3651,0,Split([10; 3650]),10,3650
38553,0.8015679717063904,Matmul([0; 28; 38557]),0,28,38557
38553,0.7773119807243347,Matmul([0; 443; 38563]),0,443,38563
38553,0.7773119807243347,Matmul([0; 8729; 38567]),0,8729,38567
38553,0.7773119807243347,Matmul([0; 8807; 38569]),0,8807,38569
38553,0.7639679908752441,Matmul([0; 9023; 6689]),0,9023,6689
879,0.000022000000171829015,Concat([10; 192; 28; 505]),10,192,28,505
26633,0.5523520112037659,Matmul([0; 51; 1624]),0,51,1624
8476,0.000019999999494757503,Concat([0; 192; 75; 74]),0,192,75,74
4660,0.05350400134921074,Matmul([0; 3; 34743]),0,3,34743
4660,0.05407999828457832,Matmul([0; 29; 34747]),0,29,34747
4660,0.05407999828457832,Matmul([0; 52; 34753]),0,52,34753
4660,0.05407999828457832,Matmul([0; 75; 34759]),0,75,34759
4660,0.05407999828457832,Matmul([0; 98; 34763]),0,98,34763
4660,0.05407999828457832,Matmul([0; 121; 34765]),0,121,34765
4660,0.05532800033688545,Matmul([0; 144; 4659]),0,144,4659
1691,0,Split([10; 1690]),10,1690
26775,0.5625920295715332,Matmul([0; 28; 26777]),0,28,26777
26775,0.5420160293579102,Matmul([0; 443; 1939]),0,443,1939
11078,0.7783359885215759,Matmul([0; 74; 6254]),0,74,6254
11078,0.7639679908752441,Matmul([0; 463; 6259]),0,463,6259
4465,0.05350400134921074,Matmul([0; 3; 33087]),0,3,33087
4465,0.05407999828457832,Matmul([0; 29; 33091]),0,29,33091
4465,0.05407999828457832,Matmul([0; 52; 33097]),0,52,33097
4465,0.05407999828457832,Matmul([0; 75; 33103]),0,75,33103
4465,0.05407999828457832,Matmul([0; 98; 33107]),0,98,33107
4465,0.05407999828457832,Matmul([0; 121; 33109]),0,121,33109
4465,0.05532800033688545,Matmul([0; 144; 4464]),0,144,4464
9884,0.40112000703811646,Matmul([0; 74; 8963]),0,74,8963
9884,0.3935360014438629,Matmul([0; 463; 8965]),0,463,8965
9884,0.3935360014438629,Matmul([0; 8741; 571]),0,8741,571
9884,0.3887999951839447,Matmul([0; 8835; 388]),0,8835,388
989,0.00003199999991920777,Concat([10; 192; 31; 228]),10,192,31,228
27815,0.40112000703811646,Matmul([0; 74; 27817]),0,74,27817
27815,0.3887999951839447,Matmul([0; 463; 2989]),0,463,2989
8524,0,Split([0; 8523]),0,8523
34811,0.5625920295715332,Matmul([0; 120; 34813]),0,120,34813
34811,0.5420160293579102,Matmul([0; 483; 4669]),0,483,4669
32525,0.5625920295715332,Matmul([0; 97; 32527]),0,97,32527
32525,0.5420160293579102,Matmul([0; 473; 4349]),0,473,4349
26719,0.40112000703811646,Matmul([0; 28; 26721]),0,28,26721
26719,0.3887999951839447,Matmul([0; 443; 1809]),0,443,1809
1029,0.00003199999991920777,Concat([10; 192; 31; 248]),10,192,31,248
4944,0.00003199999991920777,Concat([10; 192; 203; 208]),10,192,203,208
27099,0.40112000703811646,Matmul([0; 28; 27101]),0,28,27101
27099,0.3935360014438629,Matmul([0; 443; 27103]),0,443,27103
27099,0.3887999951839447,Matmul([0; 8729; 2409]),0,8729,2409
3189,0.5523520112037659,Matmul([0; 97; 3194]),0,97,3194
3189,0.00003199999991920777,Concat([10; 192; 473; 543]),10,192,473,543
8011,0,Split([10; 4809]),10,4809
33043,0.5625920295715332,Matmul([0; 51; 33049]),0,51,33049
33043,0.5505920052528381,Matmul([0; 453; 33055]),0,453,33055
33043,0.5505920052528381,Matmul([0; 8735; 33059]),0,8735,33059
33043,0.5505920052528381,Matmul([0; 8821; 33061]),0,8821,33061
33043,0.5420160293579102,Matmul([0; 9062; 4439]),0,9062,4439
674,0.00003199999991920777,Concat([10; 192; 13; 437]),10,192,13,437
4914,0.00002499999936844688,Concat([10; 192; 198; 505]),10,192,198,505
9662,0.23977600038051605,Matmul([0; 28; 9664]),0,28,9664
9662,0.23161600530147552,Matmul([0; 443; 9666]),0,443,9666
9662,0.23161600530147552,Matmul([0; 8729; 9668]),0,8729,9668
9662,0.23161600530147552,Matmul([0; 8807; 8863]),0,8807,8863
9662,0.23161600530147552,Matmul([0; 9023; 8865]),0,9023,8865
9662,0.23161600530147552,Matmul([0; 9059; 503]),0,9059,503
9662,0.22566400468349457,Matmul([0; 9107; 189]),0,9107,189
3570,0.05350400134921074,Matmul([0; 3; 29181]),0,3,29181
3570,0.05407999828457832,Matmul([0; 29; 29185]),0,29,29185
3570,0.05407999828457832,Matmul([0; 52; 29191]),0,52,29191
3570,0.05407999828457832,Matmul([0; 75; 29195]),0,75,29195
3570,0.05407999828457832,Matmul([0; 98; 29197]),0,98,29197
3570,0.05532800033688545,Matmul([0; 121; 3569]),0,121,3569
5425,0.06892800331115723,Matmul([0; 3; 10918]),0,3,10918
5425,0.07011199742555618,Matmul([0; 29; 5424]),0,29,5424
5425,0.07011199742555618,Matmul([0; 52; 5429]),0,52,5429
38415,0.8015679717063904,Matmul([0; 51; 38421]),0,51,38421
38415,0.7773119807243347,Matmul([0; 453; 38425]),0,453,38425
38415,0.7773119807243347,Matmul([0; 8735; 38427]),0,8735,38427
38415,0.7639679908752441,Matmul([0; 8821; 6649]),0,8821,6649
10958,0.7783359885215759,Matmul([0; 51; 5774]),0,51,5774
10958,0.7639679908752441,Matmul([0; 453; 5779]),0,453,5779
2525,0.05350400134921074,Matmul([0; 3; 27189]),0,3,27189
2525,0.05407999828457832,Matmul([0; 29; 27191]),0,29,27191
2525,0.05407999828457832,Matmul([0; 52; 27193]),0,52,27193
2525,0.05532800033688545,Matmul([0; 75; 2524]),0,75,2524
10706,0.5625920295715332,Matmul([0; 97; 10708]),0,97,10708
10706,0.5420160293579102,Matmul([0; 473; 4389]),0,473,4389
10706,0.5420160293579102,Matmul([0; 8747; 4394]),0,8747,4394
39125,0.8015679717063904,Matmul([0; 120; 39127]),0,120,39127
39125,0.7639679908752441,Matmul([0; 483; 6799]),0,483,6799
27089,0.40112000703811646,Matmul([0; 51; 27091]),0,51,27091
27089,0.3887999951839447,Matmul([0; 453; 2399]),0,453,2399
8873,0.40112000703811646,Matmul([0; 28; 523]),0,28,523
8873,0.3887999951839447,Matmul([0; 443; 268]),0,443,268
6064,0.00002499999936844688,Concat([10; 192; 308; 545]),10,192,308,545
328,0.000045000000682193786,Concat([10; 192; 105; 111]),10,192,105,111
28725,0.5625920295715332,Matmul([0; 28; 28729]),0,28,28729
28725,0.5505920052528381,Matmul([0; 443; 28735]),0,443,28735
28725,0.5505920052528381,Matmul([0; 8729; 28739]),0,8729,28739
28725,0.5505920052528381,Matmul([0; 8807; 28741]),0,8807,28741
28725,0.5420160293579102,Matmul([0; 9023; 3419]),0,9023,3419
10688,0.5625920295715332,Matmul([0; 74; 10690]),0,74,10690
10688,0.5505920052528381,Matmul([0; 463; 10692]),0,463,10692
10688,0.5420160293579102,Matmul([0; 8741; 4369]),0,8741,4369
10688,0.5420160293579102,Matmul([0; 8835; 4374]),0,8835,4374
6675,0.06892800331115723,Matmul([0; 3; 11210]),0,3,11210
6675,0.0708480030298233,Matmul([0; 29; 11212]),0,29,11212
6675,0.0708480030298233,Matmul([0; 52; 11214]),0,52,11214
6675,0.0708480030298233,Matmul([0; 75; 11216]),0,75,11216
6675,0.07011199742555618,Matmul([0; 98; 6674]),0,98,6674
6675,0.07011199742555618,Matmul([0; 121; 6679]),0,121,6679
10864,0.5625920295715332,Matmul([0; 97; 10866]),0,97,10866
10864,0.5505920052528381,Matmul([0; 473; 10868]),0,473,10868
10864,0.5420160293579102,Matmul([0; 8747; 4739]),0,8747,4739
10864,0.5420160293579102,Matmul([0; 8849; 4744]),0,8849,4744
1429,0.5523520112037659,Matmul([0; 28; 1434]),0,28,1434
1429,0.00003199999991920777,Concat([10; 192; 443; 509]),10,192,443,509
3334,0.5523520112037659,Matmul([0; 120; 3339]),0,120,3339
3334,0.00003199999991920777,Concat([10; 192; 475; 553]),10,192,475,553
10948,0.8015679717063904,Matmul([0; 28; 10950]),0,28,10950
10948,0.7639679908752441,Matmul([0; 443; 5754]),0,443,5754
10948,0.7639679908752441,Matmul([0; 8729; 5759]),0,8729,5759
1825,0.035840000957250595,Matmul([0; 3; 26731]),0,3,26731
1825,0.03641600161790848,Matmul([0; 29; 26733]),0,29,26733
1825,0.0360959991812706,Matmul([0; 52; 1824]),0,52,1824
4801,0,Split([10; 4800]),10,4800
34009,0.5523520112037659,Matmul([0; 143; 4579]),0,143,4579
5939,0.00002499999936844688,Concat([10; 192; 293; 543]),10,192,293,543
4119,0.00003199999991920777,Concat([10; 192; 151; 393]),10,192,151,393
8545,0.24031999707221985,Matmul([0; 8544; 169]),0,8544,169
418,0.000045000000682193786,Concat([10; 192; 174; 180]),10,192,174,180
4711,0,Split([10; 4710]),10,4710
1764,0.5523520112037659,Matmul([0; 51; 1769]),0,51,1769
1764,0.00003199999991920777,Concat([10; 192; 447; 527]),10,192,447,527
10852,0.5523520112037659,Matmul([0; 143; 4719]),0,143,4719
10852,0.5420160293579102,Matmul([0; 493; 4724]),0,493,4724
28835,0.5625920295715332,Matmul([0; 74; 28837]),0,74,28837
28835,0.5420160293579102,Matmul([0; 463; 3459]),0,463,3459
37279,0.8015679717063904,Matmul([0; 51; 37283]),0,51,37283
37279,0.7773119807243347,Matmul([0; 453; 37285]),0,453,37285
37279,0.7639679908752441,Matmul([0; 8735; 6269]),0,8735,6269
10658,0.5625920295715332,Matmul([0; 97; 10660]),0,97,10660
10658,0.5420160293579102,Matmul([0; 473; 4249]),0,473,4249
10658,0.5420160293579102,Matmul([0; 8747; 4254]),0,8747,4254
5621,0,Split([10; 5620]),10,5620
625,0.05488000065088272,Matmul([0; 3; 624]),0,3,624
28239,0.5625920295715332,Matmul([0; 28; 28243]),0,28,28243
28239,0.5505920052528381,Matmul([0; 443; 28247]),0,443,28247
28239,0.5505920052528381,Matmul([0; 8729; 28249]),0,8729,28249
28239,0.5420160293579102,Matmul([0; 8807; 3249]),0,8807,3249
5795,0.06892800331115723,Matmul([0; 3; 10964]),0,3,10964
5795,0.0708480030298233,Matmul([0; 29; 10966]),0,29,10966
5795,0.07011199742555618,Matmul([0; 52; 5794]),0,52,5794
5795,0.07011199742555618,Matmul([0; 75; 5799]),0,75,5799
5509,0.00003199999991920777,Concat([10; 192; 258; 263]),10,192,258,263
5906,0,Split([10; 5905]),10,5905
27637,0.5523520112037659,Matmul([0; 74; 2879]),0,74,2879
6756,0,Split([10; 6755]),10,6755
31503,0.5625920295715332,Matmul([0; 28; 31507]),0,28,31507
31503,0.5505920052528381,Matmul([0; 443; 31513]),0,443,31513
31503,0.5505920052528381,Matmul([0; 8729; 31519]),0,8729,31519
31503,0.5505920052528381,Matmul([0; 8807; 31523]),0,8807,31523
31503,0.5505920052528381,Matmul([0; 9023; 31525]),0,9023,31525
31503,0.5420160293579102,Matmul([0; 9059; 4144]),0,9059,4144
4839,0.00003199999991920777,Concat([10; 192; 193; 198]),10,192,193,198
10504,0.5625920295715332,Matmul([0; 51; 10506]),0,51,10506
10504,0.5505920052528381,Matmul([0; 453; 10508]),0,453,10508
10504,0.5420160293579102,Matmul([0; 8735; 3789]),0,8735,3789
10504,0.5420160293579102,Matmul([0; 8821; 3794]),0,8821,3794
38267,0.8015679717063904,Matmul([0; 97; 38269]),0,97,38269
38267,0.7639679908752441,Matmul([0; 473; 6604]),0,473,6604
1124,0.5523520112037659,Matmul([0; 28; 1129]),0,28,1129
1124,0.00003199999991920777,Concat([10; 192; 437; 505]),10,192,437,505
8645,0.46720001101493835,Matmul([0; 8493; 328]),0,8493,328
37849,0.8015679717063904,Matmul([0; 97; 37851]),0,97,37851
37849,0.7639679908752441,Matmul([0; 473; 6484]),0,473,6484
3766,0,Split([10; 3765]),10,3765
38439,0.8015679717063904,Matmul([0; 74; 38443]),0,74,38443
38439,0.7773119807243347,Matmul([0; 463; 38445]),0,463,38445
